Sr No,startup,vertical,city,investors,round,amount,year,state
1287,Impact Analytics,Technology,Bengaluru,"Aarin capital, Michael herzig, Ashish lakhanpal",Private Equity,6.19,2016,Karnataka
1288,Impact Guru,FinTech,Mumbai,"Rb investments, Fundnel",Seed Funding,4.13,2016,Maharashtra
1289,ImpactGuru,FinTech,Mumbai,Piyush jain,Seed Funding,0,2016,Maharashtra
1290,Inc42,Media,New Delhi,"India ventures, Aarin capital & others",Seed Funding,0,2016,Delhi
1291,inclov,Consumer Internet,Mumbai,"Sarbvir singh, Raghav bahl",Seed Funding,0,2016,Maharashtra
1292,Indee,Consumer Internet,Bengaluru,Kalaari capital accelerator program,Seed Funding,4.13,2016,Karnataka
1293,Indi,Consumer Internet,Bengaluru,Anil kapoor,Seed Funding,0,2016,Karnataka
1294,India Gifts Portal,E-Commerce,Noida,"Naveen arya, Tarun joshi",Private Equity,16.5,2016,Uttar Pradesh
1295,India Lends,Consumer Internet,New Delhi,"Dsg consumer partners, American express ventures, Cyber carrier vc, Advantedge partners",Private Equity,33,2016,Delhi
1296,Indiamart,E-Commerce,Noida,Amadeus capital,Private Equity,0,2016,Uttar Pradesh
1297,Indifi,FinTech,Gurugram,Omidyar network,Private Equity,82.5,2016,Haryana
1298,Indofash,E-Commerce,Bengaluru,"Shekhar sahu, Nitesh pant",Seed Funding,1.24,2016,Karnataka
1299,Indus OS,Technology,Mumbai,"Omidyar network,",Private Equity,41.25,2016,Maharashtra
1300,IndustryBuying,E-Commerce,New Delhi,Trifecta capital,Private Equity,14.85,2016,Delhi
1301,Infeedo,Technology,Gurugram,"Dheeraj jain, Palash jain, Anupam mittal, Ameera shah,  vivek bhargava, Rahul singh, Ambarish gupta,",Seed Funding,1.65,2016,Haryana
1302,Infisecure,Technology,Mumbai,"Idg ventures, Axilor ventures",Seed Funding,4.95,2016,Maharashtra
1303,Infurnia,Software,Bengaluru,Idein ventures,Seed Funding,1.32,2016,Karnataka
1304,inMotion,Technology,Noida,"Prashant tandon, Gaurav agarwal, Gaurav bhogle, Shrishti sahu, Shantanu mathur, Prabhat aggarwal",Seed Funding,0,2016,Uttar Pradesh
1305,InnerChef,Food,Gurugram,"Mistletoe, M&s partners",Private Equity,20.63,2016,Haryana
1306,InnoNano Research,Technology,Chennai,Nanoholdings,Private Equity,148.5,2016,Tamil Nadu
1307,Innoplexus,Technology,Pune,Hcs venture capital fund,Private Equity,0,2016,Maharashtra
1308,Innov8,Real Estate,New Delhi,Punit soni,Seed Funding,0,2016,Delhi
1309,Innovaccer,Technology,Noida,Westbridge capital partners,Private Equity,128.7,2016,Uttar Pradesh
1310,Instacar,Consumer Internet,Indore,Swastika co ltd.,Seed Funding,8.25,2016,Madhya Pradesh
1311,InstantPay,Consumer Internet,New Delhi,"Rb investments,  kaleden holdings",Private Equity,0,2016,Delhi
1312,Instaproc,E-Commerce,Noida,Dinesh agarwal,Seed Funding,0,2016,Uttar Pradesh
1313,Interviewpad,Technology,Pune,Krishna rokhale,Seed Funding,0.83,2016,Maharashtra
1314,Intgrea,Technology,Bengaluru,Undisclosed investor,Seed Funding,0.83,2016,Karnataka
