Sr No,startup,vertical,city,investors,round,amount,year,state
2195,Lavelle Networks,Cloud Tech,Bengaluru,Ideaspring capital,Seed Funding,4.95,2017,Karnataka
2196,Leadburg,Consumer Internet,Bengaluru,"Harsh v. pant, Ratheesh raveendran",Seed Funding,0,2017,Karnataka
2197,Leap India,Logistics,Surabardi,"India nivesh growth fund, Sixth sense, Tci ventures",Private Equity,107.25,2017,Maharashtra
2198,LearnTron,Technology,Chennai,Kae capital,Seed Funding,0,2017,Tamil Nadu
2199,Legal Raasta,Consumer Internet,New Delhi,Impanix capital,Private Equity,41.25,2017,Delhi
2200,LenDen Club,Finance,Mumbai,Undisclosed investor,Seed Funding,4.13,2017,Maharashtra
2201,LendingKart,FinTech,Ahmedabad,"Bertelsmann india, Mayfield capital, Saama capital, Darrin capital",Private Equity,88.69,2017,Gujarat
2202,LendingKart,FinTech,Ahmedabad,Yes bank,Debt Funding,64.35,2017,Gujarat
2203,LendingKart,FinTech,Ahmedabad,Anicut capital,Private Equity,38.36,2017,Gujarat
2204,Lenskart,E-Commerce,Gurugram,Ronnie screwvala,Private Equity,28.88,2017,Haryana
2205,Leopetra,E-Commerce,Mumbai,Facebook fbstart,Seed Funding,0.33,2017,Maharashtra
2206,Lets Endorse,Consumer Internet,Bengaluru,"Chandigarh angels network, Social alpha and other unnamed angel investors",Seed Funding,0,2017,Karnataka
2207,Lets Reap,Consumer Internet,Mumbai,"Kunal shah, Sandeep tandon, Nitin saluja, Gagan goyal",Seed Funding,0,2017,Maharashtra
2208,Lets Transport,Consumer Internet,Bengaluru,"Gmo japan, Neelesh bhatnagar",Private Equity,33,2017,Karnataka
2209,Letsservice,Consumer Internet,Bengaluru,Aequs group,Private Equity,0,2017,Karnataka
2210,Leverage Edu,EdTech,New Delhi,"Alok mittal, Deepak jain, Ritesh malik, Jim schimdktke",Seed Funding,0,2017,Delhi
2211,Licious,E-Commerce,Bengaluru,"Mayfield india, 3one4 capital, Sistema asia fund, Neoplux technology fund",Private Equity,82.5,2017,Karnataka
2212,Lime Tray,Technology,New Delhi,Jsw ventures,Private Equity,0,2017,Delhi
2213,Little Black Book,Consumer Internet,New Delhi,"Blume ventures, Idg ventures & indian angel network",Private Equity,8.25,2017,Delhi
2214,Loadshare,Logistics,Bengaluru,Matrix partners,Seed Funding,0,2017,Karnataka
2215,Loan Frame,Consumer Internet,Gurugram,"Vedanta capital, William campbell, Toos n daruvala",Private Equity,18.56,2017,Haryana
2216,Loanmeet,Consumer Internet,Bengaluru,"Cao yibin, Huang wei, Madhusudan e,",Seed Funding,0,2017,Karnataka
2217,LoanTap,Consumer Internet,Mumbai,"Kae capital, India quotient, Ifmr, And mas financial services ltd",Private Equity,33,2017,Maharashtra
2218,Log9 Materials,Technology,Bengaluru,Gems,Seed Funding,0,2017,Karnataka
2219,LogicRoots,EdTech,Jaipur,Village capital,Seed/Angel Funding,0.41,2017,Rajasthan
2220,LoyaltyPrime,Technology,New Delhi,"Senovo, Unternehmertum venture capital, Alexander bruehl",Private Equity,0,2017,Delhi
2221,Lucideus,Cybersecurity,New Delhi,"Vellayan subbiah, Jonathan boutelle, Rajan anandan,  rahul chawla, Salil donde, Amit ranjan, Govind rajan & others",Seed Funding,0,2017,Delhi
2222,MagicBricks,Consumer Internet,Mumbai,Times internet ltd,Private Equity,37.13,2017,Maharashtra
2223,Magicpin,Consumer Internet,Gurugram,"Lightspeed india partners, Waterbridge ventures",Private Equity,57.75,2017,Haryana
2224,Magicpin,Consumer Internet,Gurugram,"Lightspeed venture partners, Vy capital,",Private Equity,54.45,2017,Haryana
2225,MamaEarth,E-Commerce,Gurugram,Fireside ventures,Seed Funding,0,2017,Haryana
2226,Maptags,Consumer Internet,Bengaluru,The ten minute million,Seed Funding,0.15,2017,Karnataka
2227,Markets and Markets,Technology,Pune,"Ftv capital, Zodius capital",Private Equity,462,2017,Maharashtra
2228,MaxMyWealth,Consumer Internet,Mumbai,"Lockchain ecosystem global advisors, Horseferry",Private Equity,0,2017,Maharashtra
2229,Mech Mocha,Entertainment,Bengaluru,"Accel partners, Shunwei capital",Private Equity,41.25,2017,Karnataka
2230,MedGenome,Healthcare,Bengaluru,"Sequoia india, Sofina s.a., Zodius capital, Kris gopalakrishnan, Lakshmi narayanan,",Private Equity,247.5,2017,Karnataka
2231,Medinfi,Consumer Internet,Bengaluru,"Pbs srinivas, Vinod martin,",Seed Funding,1.03,2017,Karnataka
2232,Medinfi,Consumer Internet,Bengaluru,"Vinod martin, Evan lim, Kanchan ghoshal, Ram kumar kakani",Seed Funding,0.83,2017,Karnataka
2233,Medinfi,Consumer Internet,Bengaluru,"Vinod martin, Hemant kaul, Prof. ram kumar kakani & others",Seed Funding,0.41,2017,Karnataka
2234,Medwell Ventures,Healthcare,Bengaluru,"Mahindra partners, Eight roads ventures, F-prime capital partners",Private Equity,173.25,2017,Karnataka
2235,Meesho,E-Commerce,Bengaluru,"Saif partners, Ycombinator, Venture highway",Private Equity,25.58,2017,Karnataka
2236,MergerWare,Technology,Bengaluru,Philippe bouchet,Seed Funding,0.83,2017,Karnataka
2237,MessaGif,Consumer Internet,New Delhi,Undisclosed investor,Seed Funding,0.41,2017,Delhi
2238,mfine,Healthcare,Bengaluru,"Stellaris venture partners, Mayur abhaya, Rohit ma",Private Equity,12.38,2017,Karnataka
2239,MilkBasket,E-Commerce,Gurugram,Blume ventures. lenovo capital and incubator group (lcig),Seed Funding,0,2017,Haryana
2240,MindTickle,EdTech,Pune,Canaan partners,Private Equity,222.75,2017,Maharashtra
2241,MindYourFleet,Consumer Internet,Noida,"Japan vyas, Tarun adlakha",Seed Funding,0,2017,Uttar Pradesh
2242,Minjar,Technology,Bengaluru,"Blume ventures, Contrarian capital india partners, Emergent ventures india, Pallav nadhani, Ashish gupta, Sharad sharma, Sirion labs",Seed Funding,0,2017,Karnataka
2243,Mintwalk,Consumer Internet,Mumbai,Poshika financial ecosystem,Seed Funding,0,2017,Maharashtra
2244,MiStay,Technology,Bengaluru,Axilor ventures,Seed/Angel Funding,0,2017,Karnataka
2245,MobiDent,Healthcare,Bengaluru,Dangold investment corp,Private Equity,0,2017,Karnataka
2246,MobieFit,Healthcare,Goa,"Nb ventures, Mediassist",Seed/Angel Funding,11.14,2017,Goa
2247,Mobikon,Technology,Pune,"Sistema asia fund, C31 ventures, Qualgro.",Private Equity,57.75,2017,Maharashtra
2248,Mobiliz AR,Technology,Bengaluru,"Idg ventures, Idfc-parampara fund",Private Equity,0,2017,Karnataka
2249,MObiquest,Technology,Noida,One97 communication ltd,Private Equity,0,2017,Uttar Pradesh
2250,Mobycy,Transportation,Gurugram,Undisclosed investors,Seed/Angel Funding,4.13,2017,Haryana
2251,Moglix,E-Commerce,Noida,"International finance corporation, Rocketship, Accel partners, Jungle ventures, Shailesh rao, Venture highway",Private Equity,99,2017,Uttar Pradesh
2252,MoneyTap,FinTech,Bengaluru,"Sequoia india, Nea, Prime venture partners",Private Equity,101.48,2017,Karnataka
2253,MonkeyBox,Consumer Internet,Bengaluru,"Blume ventures, Nb ventures, Nspira",Seed Funding,0,2017,Karnataka
2254,Monsoon Fintech,Technology,New Delhi,"Sunil kalra, Aditya singh, Rishi srivastava, Rajan anandan",Seed Funding,0,2017,Delhi
2255,Moong Labs,Technology,New Delhi,Nazara games,Private Equity,0,2017,Delhi
2256,mPaani,Consumer Internet,Mumbai,"Idg ventures, Blume ventures, Saha fund,",Private Equity,11.14,2017,Maharashtra
2257,MrNeeds,Consumer Internet,Noida,Undisclosed investors,Seed Funding,4.13,2017,Uttar Pradesh
2258,MSE,Finance,Mumbai,"Il&fs, Trust capital, Rosy blue securities, Radhakrishan damani and rakesh jhunjhunwala",Private Equity,264,2017,Maharashtra
2259,mSwipe,Technology,Mumbai,"Uc-rnt fund, Matrix partners, Alcon edge capital, Dsg consumer partners",Private Equity,255.75,2017,Maharashtra
2260,mSwipe,Technology,Mumbai,Eduardo saverin,Private Equity,82.5,2017,Maharashtra
2261,Multibhashi,EdTech,Bengaluru,"Aniruddha malpani, Startup oasis",Seed Funding,0,2017,Karnataka
2262,Multiplier Solutions,Technology,Hyderabad,Norwest venture partners,Private Equity,12.38,2017,Telangana
2263,My Forex Eye,Consumer Internet,New Delhi,"Rahul dev kumar, Rajesh mahajan, Ankit sharma and others",Seed Funding,1.82,2017,Delhi
2264,MyDermacy,Consumer Internet,New Delhi,Cyber carrier,Private Equity,0,2017,Delhi
2265,MyGlamm,Personal Care,Mumbai,L'occitane,Private Equity,43.73,2017,Maharashtra
2266,MyGreens,Food ,New Delhi,"Ajay relan, Letsventure",Seed Funding,8.25,2017,Delhi
2267,MyGubbi,E-Commerce,Bengaluru,"Firoze irani, Vipul parekh, Ananda kallugadde, Rajesh k murthy",Private Equity,22.28,2017,Karnataka
2268,Myly,Consumer Internet,Jaipur,Mall industries development bank of india (sidbi),Seed Funding,2.56,2017,Rajasthan
2269,Myra,Healthcare,Bengaluru,"Times internet, Matrix partners",Private Equity,0,2017,Karnataka
2270,MyUpchar,Healthcare,New Delhi,Letsventure,Seed Funding,2.48,2017,Delhi
2271,Nactus,Consumer Internet,Jaipur,"Sandeep aggarwal, Gautam chhaochharia, R balachandar",Seed Funding,0,2017,Rajasthan
2272,Native Special,E-Commerce,Karur,"Indian angel network, Native angels network",Seed Funding,0,2017,Tamil Nadu
2273,Navia Life Care,Technology,New Delhi,Benori ventures llp,Seed Funding,0,2017,Delhi
2274,Nazara Technologies,Technology,Mumbai,Rakesh jhunjhunwala,Private Equity,222.75,2017,Maharashtra
2275,NeoStencil,Consumer Internet,New Delhi,"Brand capital, Paragon trust",Private Equity,8.25,2017,Delhi
2276,Nest Education,Technology,Gurugram,"Michael and susan dell foundation, Anand mahindra",Seed Funding,4.95,2017,Haryana
2277,NetMeds,Healthcare,Chennai,Tanncam investment & sistema asia fund,Private Equity,115.5,2017,Tamil Nadu
2278,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,2,2017,Tamil Nadu
2279,New Delhivery,Logistics,New Delhi,"Carlyle group, Tiger global",Private Equity,825,2017,Delhi
2280,New Delhivery,Logistics,New Delhi,Fosun international,Private Equity,247.5,2017,Delhi
2281,Nightstay,Consumer Internet,New Delhi,"Indian angels network, Letsventure",Seed Funding,0,2017,Delhi
2282,Niki.ai,AI,Bengaluru,"Sap.io, Unilazer ventures",Private Equity,16.5,2017,Karnataka
2283,Niki.ai,AI,Bengaluru,Sap,Private Equity,0,2017,Karnataka
2284,Ninjacart,AgriTech,Bengaluru,"Accel partners, Nandan nilekani's nrjn trust, Mistletoe, Qualcomm ventures, M&s partners",Private Equity,45.38,2017,Karnataka
2285,Niramai,Healthcare,Bengaluru,"Pi ventures, Axilor ventures, 500 startups, Binny bansal",Seed Funding,0,2017,Karnataka
2286,Nivesh,Finance,Noida,"Pv sahad, Sandeep shroff, Rahul gupta",Seed Funding,0,2017,Uttar Pradesh
2287,NoPaperForms Solutions Pvt. Ltd.,EdTech,New Delhi,Info edge,Seed Funding,7.19,2017,Delhi
2288,Noticeboard,Technology,Bengaluru,"Stellaris venture partners,",Private Equity,9.9,2017,Karnataka
2289,Noticeboard,Technology,Bengaluru,"Shamik sharma, Aprameya radhakrishna",Seed Funding,0,2017,Karnataka
2290,NowFloats,Consumer Internet,Hyderabad,"Iron pillar and iifl, Blume ventures, Omidyar network",Private Equity,82.5,2017,Telangana
2291,Nurturey,Consumer Internet,New Delhi,Mohit joshi & others,Seed Funding,2.72,2017,Delhi
2292,Nuvepro,Technology,Mumbai,1crowd,Seed/Angel Funding,3.3,2017,Maharashtra
2293,OfBusiness,Fintech,Gurugram,Kotak mahindra bank,Debt Funding,31.35,2017,Haryana
2294,Oglas,Consumer Internet,Noida,"Pankaj rungta, Yogesh agarwal",Seed Funding,0,2017,Uttar Pradesh
2295,Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and company ltd",Private Equity,55.28,2017,Gujarat
2296,Oi Media,Technology,New Delhi,Quarizon,Seed Funding,0,2017,Delhi
2297,Ola,Transportation,Bengaluru,Softbank group corp,Private Equity,2722.5,2017,Karnataka
2298,Ola,Transportation,Bengaluru,Simi pacific pte,Private Equity,2145,2017,Karnataka
2299,Ola,Transportation,Bengaluru,"Tencent, Softbank group",Private Equity,907.5,2017,Karnataka
2300,Ola,Transportation,Bengaluru,"Falcon edge capital,  capital advisers",Private Equity,862.13,2017,Karnataka
2301,Ola,Transportation,Bengaluru,Tekne capital management llc,Private Equity,412.5,2017,Karnataka
2302,Ola,Transportation,Bengaluru,Tekne capital management,Private Equity,297,2017,Haryana
2303,Ola,Transportation,Bengaluru,Ani technologies pvt. ltd,Private Equity,63.53,2017,Karnataka
2304,Olly Smart Credit Card,Finance,New Delhi,"Incubate fund, Sandesh kirkire, Anand kumar, Yogesh chaudhary",Seed Funding,0,2017,Delhi
2305,Omnia Information,Technology,New Delhi,Omidyar network,Private Equity,24.75,2017,Delhi
2306,Omnify,Technology,Bengaluru,"Rajan anandan, L.d sharma, Saurabh arora",Seed Funding,1.24,2017,Karnataka
2307,OncoStem,Healthcare,Bengaluru,"Sequoia capital india, Artiman ventures",Private Equity,49.5,2017,Karnataka
2308,OneAssist,Consumer Internet,Mumbai,Sequoia capital,Private Equity,0,2017,Maharashtra
2309,OneStepUp,Technology,New Delhi,Orient blackswan,Seed Funding,2.77,2017,Delhi
2310,ONN Bikes,E-Commerce,Mumbai,Z nation lab,Seed/Angel Funding,5.71,2017,Maharashtra
2311,Oorjan,Technology,Mumbai,Globevestor,Seed Funding,3.71,2017,Maharashtra
2312,OpenApp,Software,Bengaluru,"Axilor ventures, Kumar vembu",Private Equity,29.7,2017,Karnataka
2313,Oriano Solar,Technology,Mumbai,Samridhi fund,Private Equity,24.75,2017,Maharashtra
2314,OYO,Hospitality,Gurugram,"Softbank group, Sequoia capital india, Lightspeed venture partners, Greenoaks capital, Hero enterprise",Private Equity,2062.5,2017,Haryana
2315,OYO,Hospitality,Gurugram,China lodging group,Private Equity,82.5,2017,Haryana
2316,Paalak,E-Commerce,New Delhi,"Vishwadeep bajaj, Harsh kundra, Nandkumar rane, Ln buddharaju, Anupam tyagi",Seed Funding,0,2017,Delhi
2317,PaisaWapas,Consumer Internet,Bengaluru,Vividhity ventures,Seed Funding,0,2017,Karnataka
2318,Parallel Dots,Technology,Gurugram,"Multipoint capital,",Private Equity,11.55,2017,Haryana
2319,Parentune,Consumer Internet,Gurugram,"Kae capital, Segnel ventures",Private Equity,0,2017,Haryana
2320,Park Easy,Consumer Internet,Kolkata,Rockstart accelerator,Seed Funding,0.97,2017,West Bengal
2321,Paysense,Consumer Internet,Mumbai,Jungle ventures,Private Equity,43.73,2017,Maharashtra
2322,Paytm,E-Commerce,Bengaluru,Alibaba,Private Equity,1650,2017,Karnataka
2323,Paytm,E-Commerce,Bengaluru,Softbank group,Private Equity,115.5,2017,Karnataka
2324,PeeBuddy,Healthcare,New Delhi,Indian angel network,Seed Funding,3.65,2017,Delhi
2325,Peel Works,Logistics,Mumbai,Unilever ventures,Private Equity,0,2017,Maharashtra
2326,PeeSafe,Healthcare,New Delhi,"Venture catalysts, Alfa capital, Green shots capital, Real time ventures",Private Equity,8.25,2017,Delhi
2327,Perfios,Technology,Bengaluru,Bessemer venture partners,Private Equity,50.33,2017,Karnataka
2328,Perpule,Software,Bengaluru,Kstart capital,Seed Funding,5.36,2017,Karnataka
2329,Perspectico,Education,New Delhi,"Sscbs innovation, Incubation foundation (siif)",Seed/Angel Funding,0,2017,Delhi
2330,PharmEasy,Healthcare,Mumbai,"Bessemer venture partners, Orios venture partners, Trifecta capital,",Private Equity,148.5,2017,Maharashtra
2331,Phone Pe,FinTech,Bengaluru,Flipkart,Private Equity,319.28,2017,Karnataka
2332,PickMe,Consumer Internet,Mumbai,Sidbi venture capital fund,Private Equity,14.77,2017,Maharashtra
2333,PipeCandy,Technology,Chennai,"Idg ventures, Axilor ventures, Emergent ventures, Indian angel network",Seed Funding,9.08,2017,Tamil Nadu
2334,Pitstop,Consumer Internet,Bengaluru,"Blume ventures, Goldbell group, Anurag srivastava, Shailesh rao, Amiya pathak, Rajesh yohanan and rahul garg",Private Equity,8.25,2017,Karnataka
2335,Playablo,Technology,Bengaluru,Abi-showatech (india) ltd,Seed Funding,4.95,2017,Karnataka
2336,PolicyBazaar,FinTech,Gurugram,"Wellington management, Dg ventures india, True north",Private Equity,635.25,2017,Haryana
2337,POPxo,Technology,New Delhi,"Gree ventures, Kalaari capital and idg ventures india, Summit media, Atul goel, And gurpreet singh",Private Equity,25.58,2017,Delhi
2338,PortDesk,Technology,Noida,Alphard maritime group,Seed Funding,16.5,2017,Uttar Pradesh
2339,Portea Medical,Healthcare,Bengaluru,"Sabre partners, Memg cdc",Private Equity,214.5,2017,Karnataka
2340,Power2SME,E-Commerce,Gurugram,"International finance corporation (ifc), Inventus capital partners, Accel partners, Kalaari capital, And nandan nilekani,",Private Equity,214.5,2017,Haryana
2341,Power2SME,E-Commerce,Gurugram,International finance corporation,Private Equity,82.5,2017,Haryana
2342,PParke,Consumer Internet,Bengaluru,Sb ventures,Seed Funding,0,2017,Karnataka
2343,Practo,Healthcare,Bengaluru,"Tencent,  ru-net, Rsi fund, Thrive capital",Private Equity,453.75,2017,Karnataka
2344,PrestLoans,Finance,New Delhi,"Manish poddar, Arun garg, Parmeshwar sharma",Seed Funding,4.7,2017,Delhi
2345,PrimaryIO,Technology,Pune,"Accel partners, Exfinity ventures, Partech ventures",Private Equity,46.2,2017,Maharashtra
2346,Project Mudra,Technology,Bengaluru,Village capital,Seed/Angel Funding,0.41,2017,Karnataka
2347,PropertyShare,Consumer Internet,Bengaluru,"Asuka, Pravega ventures, Beenext",Seed Funding,0,2017,Karnataka
2348,PropStory,Consumer Internet,Gurugram,"Abhishek bhatewara, Vivek shah, Haitong securities, Suraj saharan, Paras arora",Seed Funding,0,2017,Haryana
2349,PumpKart,E-Commerce,Chandigarh,Dr. ritesh malik,Seed Funding,0,2017,Chandigarh
2350,Purplle,E-Commerce,Mumbai,"Mountain pain capital, Suncoast investments",Seed/Angel Funding,4.43,2017,Maharashtra
2351,QorQI,Healthcare,Noida,Paytm,Seed Funding,0,2017,Uttar Pradesh
2352,Qriyo,Consumer Internet,Jaipur,Nb ventures,Private Equity,0,2017,Rajasthan
2353,Qubole,Technology,Bengaluru,"Singtel, Innov8, Harmony partners",Private Equity,206.25,2017,Karnataka
2354,QwikSpec,Technology,Bengaluru,"Brigade innovations llp, Tv mohandas pai, Suhail rahman, Bobby reddy, M george oommen",Seed Funding,4.46,2017,Karnataka
2355,Qwikspec,Technology,Bengaluru,Undisclosed investors,Seed Funding,2.48,2017,Karnataka
2356,Rapido,Transportation,Bengaluru,Battery road digital holdings llc,Seed Funding,3.48,2017,Karnataka
2357,Rapido,Transportation,Bengaluru,"Skycatcher fund, Aravind sanka",Seed/Angel Funding,2.72,2017,Karnataka
2358,RAW Pressery,Food ,Mumbai,"Dsg consumer partners, Sequoia capital, Saama capital",Private Equity,49.5,2017,Maharashtra
2359,Raw Pressery,Food ,Mumbai,Jacqueline fernandez,Seed Funding,0,2017,Maharashtra
2360,Red Carpet,Consumer Internet,Gurugram,Lightspeed venture partners,Private Equity,20.63,2017,Haryana
2361,RedBook,Technology,Mumbai,"Vida ventures, Dr. aniruddha malpani",Seed/Angel Funding,2.06,2017,Maharashtra
2362,Redesyn,Consumer Internet,Mumbai,Thinqbate,Seed Funding,0,2017,Maharashtra
2363,Register My Marriage,Consumer Internet,New Delhi,Mumbai angels,Seed Funding,0,2017,Delhi
2364,Remit Guru,Consumer Internet,Mumbai,"Infibeam, Ccavenue",Private Equity,3.84,2017,Maharashtra
2365,Renew Buy,Consumer Internet,New Delhi,Amicus capital,Private Equity,75.9,2017,Delhi
2366,Reniso,Technology,New Delhi,"Nishit sharma, Alok srivastava",Seed Funding,0,2017,Delhi
2367,Rentomojo,Consumer Internet,Bengaluru,"Ain capital ventures, Renaud laplanche",Private Equity,82.5,2017,Karnataka
2368,RentOnGo,E-Commerce,Bengaluru,Tvs motor company,Seed Funding,1.93,2017,Karnataka
2369,Rivigo,Logistics,Gurugram,Private sector banks (debt funding),Private Equity,123.75,2017,Haryana
2370,RML Agtech,Technology,Pune,Ivycap ventures,Private Equity,33,2017,Maharashtra
2371,Roambee,Technology,Mumbai,Deutsche telekom strategic investments & others,Private Equity,33.83,2017,Maharashtra
2372,Rooter,Sports,New Delhi,"Abhinav gupta,",Seed Funding,1.54,2017,Delhi
2373,Rooter,Sports,New Delhi,Intex technologies,Private Equity,0,2017,Delhi
2374,Rubique,Consumer Internet,Mumbai,"Kalaari capital, Udayan goyal",Private Equity,24.75,2017,Maharashtra
2375,SafetyKart,E-Commerce,Gurugram,Redcliffe capital,Private Equity,0,2017,Haryana
2376,SastaSundar,E-Commerce,Kolkata,Rohto pharmaceutical,Private Equity,41.25,2017,West Bengal
2377,Sattviko,E-Commerce,New Delhi,"Raman roy, Arvind uppal, Sonu bhasin, G ravishankar",Seed Funding,0,2017,Delhi
2378,SaveBC,Finance,Gaya,Incofin investment management.,Private Equity,49.5,2017,Bihar
2379,Scootsy,Consumer Internet,Mumbai,"Agnus capital, Khattar holdings",Private Equity,29.7,2017,Maharashtra
2380,ScoutMyTrip,Consumer Internet,Mumbai,Z nation lab,Seed Funding,0,2017,Maharashtra
2381,Securens,Technology,Mumbai,"Mayfield india, Trifecta capital",Private Equity,41.25,2017,Maharashtra
2382,SecururAX,Technology,Bengaluru,"Axilor ventures, Parampara early stage opportunities fund & others",Private Equity,0,2017,Karnataka
2383,Seenit,Consumer Internet,Kolkata,"Calcutta angels network (can), Augment ventures",Seed Funding,0,2017,West Bengal
2384,SelectJobs,Consumer Internet,Mumbai,India educational investment fund,Seed Funding,0,2017,Maharashtra
2385,Seniority,E-Commerce,Pune,Rpg enterprises,Private Equity,8.25,2017,Maharashtra
2386,Sepalika,Consumer Internet,New Delhi,Accel partners,Seed Funding,6.19,2017,Delhi
2387,Sequretek,Cybersecurity,Mumbai,"Gvfl, Unicorn india ventures",Private Equity,0,2017,Maharashtra
2388,ShilpMIS,Technology,Surat,"Puneet gupta, Nimitt desai & others",Seed Funding,0,2017,Gujarat
2389,Shopclues,E-Commerce,Gurugram,Innoven capital,Private Equity,63.53,2017,Haryana
2390,Shopholix,E-Commerce,Gurugram,Munesh khanna,Seed/Angel Funding,1.92,2017,Haryana
2391,Shubh Loans,FinTech,Bengaluru,"Sri capital, Beenext, Pravega ventures",Private Equity,12.38,2017,Karnataka
2392,Sigtuple,Healthcare,Bengaluru,"Accel partners, Idg ventures, Endiya partners, Pi ventures, Vh capital, Axilor partners",Private Equity,47.85,2017,Karnataka
2393,Simility,Technology,Hyderabad,Accel partners,Private Equity,144.38,2017,Telangana
2394,SimpliLend,EdTech,Bengaluru,Undisclosed investors,Seed Funding,0,2017,Karnataka
2395,Simulanis,Technology,New Delhi,Village capital,Seed Funding,0,2017,Delhi
2396,Skill Connect,Consumer Internet,Jaipur,Rajasthan angel investor network,Seed Funding,0,2017,Rajasthan
2397,Skillenza,Consumer Internet,Bengaluru,"Blume ventures, Indian angel network",Seed Funding,5.96,2017,Karnataka
2398,Sky Met Weather,Technology,Noida,Insuresillience investment fund,Private Equity,0,2017,Uttar Pradesh
2399,Slice Pay,FinTech,Bengaluru,"Das capital, Simile ventures",Private Equity,16.5,2017,Karnataka
2400,Smaaash,Technology,Mumbai,Ecl finance,Private Equity,363,2017,Maharashtra
2401,Smaaash,Technology,Mumbai,Sixth sense ventures,Private Equity,31.35,2017,Maharashtra
2402,Smart Karma,Technology,Bengaluru,Idg ventures india,Private Equity,0,2017,Karnataka
2403,SmartCoin,Finance,Bengaluru,Unicorn india ventures & others,Private Equity,0,2017,Karnataka
2404,SmartHi,Technology,Pune,Singapore based investor,Seed Funding,0,2017,Maharashtra
2405,SMECorner,FinTech,Mumbai,Dutch government fund,Private Equity,0,2017,Maharashtra
2406,Snackible,Food ,Mumbai,"Nibhrant shah, Anandbir singh, Anirudh sheth, Pratik singhi, Vikram mehta, Murali nair",Seed Funding,1.44,2017,Maharashtra
2407,Spandana Sphoorty,Finance,Hyderabad,"""kedaraa capital, Ontario teachers\\'""",Private Equity,160.88,2017,Telangana
2408,Spares Hub,E-Commerce,Pune,"The chennai angels, Anthill scale ventures, Esvee technologies inc, Inc95 consulting",Seed Funding,2.57,2017,Maharashtra
2409,Specsmakers,Personal Care,Chennai,Eight roads ventures india,Private Equity,82.5,2017,Tamil Nadu
2410,SpeedBox,Logistics,Mumbai,Cismat cargo services pvt. ltd.,Seed Funding,2.48,2017,Maharashtra
2411,Spinny,E-Commerce,Gurugram,"Blume ventures, Indian angel network, Kunal shah, Sandeep tandon",Private Equity,8.25,2017,Haryana
2412,Sport Flashes,Consumer Internet,New Delhi,"Vikas bajaj, Amit kharbanda,",Seed Funding,0,2017,Delhi
2413,Sportido,Sports,New Delhi,Mehul shah,Seed Funding,1.24,2017,Delhi
2414,Sportido,Sports,New Delhi,"Bennett, Coleman and company ltd (bccl),",Private Equity,0,2017,Delhi
2415,SpotDraft,Consumer Internet,Gurugram,"Hunch ventures, Spiral ventures, 500 startups, Singapore angel network, Citrus payments",Seed Funding,4.54,2017,Haryana
2416,Springboard,Data Analytics,Bengaluru,"Costanoa, Learn capital, Jyoti bansal",Private Equity,78.38,2017,Karnataka
2417,Squadrun,Technology,Noida,"Blume ventures, Contrarian capital, 91springboard, Emergent ventures, Abstract ventures, Anthill ventures, Axilor ventures",Private Equity,17.33,2017,Uttar Pradesh
2418,Square Yards,Consumer Internet,Gurugram,"Lohia group, Andre hoffman",Private Equity,82.5,2017,Haryana
2419,StalkBuyLove,E-Commerce,New Delhi,Trifecta capital,Private Equity,8.25,2017,Delhi
2420,StanPlus,Logistics,Hyderabad,Kstart capital,Private Equity,9.08,2017,Telangana
2421,Stanza Living,Technology,New Delhi,"Matrix partners, Accel",Private Equity,16.5,2017,Delhi
2422,Startup Buddy,Consumer Internet,Gurugram,"Youwecan ventures,",Seed Funding,0,2017,Haryana
2423,Stashfin,Consumer Internet,New Delhi,"Snow leopard ventures, Alto partners",Private Equity,41.25,2017,Delhi
2424,Stayabode,Consumer Internet,Bengaluru,"Incubate fund, Sanjay shenoy, Mridul upreti,",Private Equity,0,2017,Karnataka
2425,Stockal,FinTech,Bengaluru,"Mohan alexander, R. natarajan, Vikrant varshney, Amit sinha",Seed Funding,2.89,2017,Karnataka
2426,Stockroom.io,Consumer Internet,Hyderabad,"Satya d sinha, Gyanendra singh",Seed Funding,0,2017,Telangana
2427,Strata Enviro,Technology,Mumbai,Scale minds,Private Equity,0,2017,Maharashtra
2428,Stratfit,Consumer Internet,Hyderabad,Bodhtree consulting limited,Seed Funding,1.91,2017,Telangana
2429,Sumeru,Technology,Bengaluru,Undisclosed investors,Seed Funding,8.25,2017,Karnataka
2430,Sumeru,Technology,Bengaluru,Undisclosed investors,Seed Funding,7.43,2017,Karnataka
2431,Summerlabel,Consumer Internet,Gurugram,"Aneesh seth, Tushar mittal",Seed Funding,1.24,2017,Haryana
2432,Supr Daily,Consumer Internet,Mumbai,"Soma capital, Great oaks ventures, 122 west ventures",Private Equity,12.38,2017,Maharashtra
2433,Supr Daily,Consumer Internet,Mumbai,Y combinator,Seed Funding,0.99,2017,Maharashtra
2434,Swiggy,Food,Bengaluru,"Nasper, Accel india, Saif partners, Bessemer venture partners, Harmony partners, Norwest venture partners",Private Equity,660,2017,Karnataka
2435,Synup,Technology,Bengaluru,"Vertex ventures, Prime venture partners.",Private Equity,49.5,2017,Karnataka
2436,TagBox,Technology,Bengaluru,"Indian angel network, Ian fund",Seed Funding,0,2017,Karnataka
